title,artist,album,release_date,genre,rank,chartyear

미운정 고운정,Nami (나미),한국가요사 16집,1980,발라드,13,1980

난 참 바보처럼 살았군요,김태화,"난 참 바보처럼 살았군요, 뛰어",1980,성인가요/트로트,14,1980

바야야,이정희,새노래 모음,1980,발라드,15,1980

불놀이야,옥슨 80,옥슨 '80,1980,록/메탈,16,1980

빙빙빙,하성관,푸른시절,1980,포크/블루스,17,1980

사랑은 아직도 끝나지 않았네,조용필,조용필 1집 (Remastered),1980,성인가요/트로트,18,1980

사랑이야,양희은,양희은이 처음부른 노래들,1980,포크/블루스,19,1980

실비 오는 소리에,이영화,이영화 골든 Best,1980,성인가요/트로트,20,1980

영원한 친구,Nami (나미),한국가요사 20집,1980,댄스,21,1980

외할머니 댁,논두렁 밭두렁,나의 성,1980,발라드,22,1980

일곱색깔 무지개,작은 거인,별리 / 어쩌면 좋아,1980,록/메탈,23,1980

저 높은 곳을 향하여,이영화,이영화 골든 Best,1980,성인가요/트로트,24,1980

제 7광구,정난이,제 7광구,1980,성인가요/트로트,25,1980

찻잔,노고지리,조용한 방,1980,록/메탈,26,1980

창문너머 어렴풋이 옛 생각이 나겠지요,산울림,조금만 기다려요,1980,록/메탈,27,1980

창밖의 여자,조용필,조용필 1집 (Remastered),1980,성인가요/트로트,28,1980

풍문으로 들었소,함중아,페스티발,1980,성인가요/트로트,29,1980

행복한 사람,조동진,The Best of Cho Dong Jin (진눈깨비/나뭇잎 사이로),1980,포크/블루스,30,1980

가나다라,송창식,송창식 골든 제3집,1981,포크/블루스,1,1981

가지마오,산울림,가지마오,1981,록/메탈,2,1981

겨울아이,이종용,겨울아이,1981,발라드,3,1981

고추잠자리,조용필,조용필 3집,1981,성인가요/트로트,4,1981

그 사람,김만수,김만수 히트전집,1981,포크/블루스,5,1981

꿈 찾아가리,버들피리,골든앨범,1981,성인가요/트로트,6,1981

꿈을 꾼 후에,여진,여진의 노래모음 제1집,1981,발라드,7,1981

남편에게 바치는 노래,김윤희,김윤희 / 박일남,1981,성인가요/트로트,8,1981

나에게도 사랑이,함중아,제1회 77 MBC 대학가요제 제2집,1981,발라드,9,1981

높은 하늘아,수연,나는 당신의 여자,1981,성인가요/트로트,10,1981

능수버들,들고양이들,와일드 캐츠 (들고양이들),1981,성인가요/트로트,11,1981

목로주점,이연실,고운노래모음,1981,포크/블루스,12,1981

물망초,조용필,조용필 3집,1981,성인가요/트로트,13,1981

미워 미워 미워,조용필,조용필 3집,1981,성인가요/트로트,14,1981

바람이려오,이용,잊혀진 계절,1981,성인가요/트로트,15,1981

벌써 나를 잊으셨나요,야생마,그룹사운드 슈퍼히트 콜렉션 (이제는 / 그리운 건 너),1981,록/메탈,16,1981

"별, 달, 장미, 백합",김만수,김만수 히트전집,1981,포크/블루스,17,1981

별이여 사랑이여,사랑의 하모니,야화/별이여 사랑이여,1981,성인가요/트로트,18,1981

보고픈걸 어떻게,계은숙,계은숙 골든,1981,성인가요/트로트,19,1981

봄 여름 가을 겨울,김현식,김현식 새노래,1981,록/메탈,20,1981

사랑이여!,유심초,나는 홀로 있어도,1981,성인가요/트로트,21,1981

생각이 나면,들고양이들,와일드 캐츠 (들고양이들),1981,성인가요/트로트,22,1981

성아의 이야기,백영규,백영규 대표곡 모음,1981,포크/블루스,23,1981

아름다운 강산,신중현과 뮤직파워,1집,1981,록/메탈,24,1981

아직도 못다한 사랑,솔개 트리오,연극중에서,1981,포크/블루스,25,1981

애원,전영록,애심/그대여,1981,"발라드, 성인가요/트로트",26,1981

어느 소녀의 사랑 이야기,민해경,민해경 골든,1981,"발라드, 성인가요/트로트",27,1981

어디서 무엇이 되어 다시 만나랴,유심초,나는 홀로 있어도,1981,성인가요/트로트,28,1981

옛시인의 노래,한경애,톱가수 16인의 힛트곡 2집,1981,발라드,29,1981

옛사랑의 돌담길,혜은이,골든 베스트,1981,성인가요/트로트,30,1981

우리만나요 처음만난 그곳에서,백영규,백영규 골든 베스트,1981,성인가요/트로트,31,1981

일편단심 민들레야,조용필,조용필 3집,1981,성인가요/트로트,32,1981

잊기로 했네,조용필,축복(祝福) (촛불),1981,발라드,33,1981

제2의 고향,윤수일,골든 힛트곡 모음집 (사랑만은 않겠어요),1981,성인가요/트로트,34,1981

주저하지 말아요,방미,골든 히트곡,1981,성인가요/트로트,35,1981

진정인가요,김미성,잊었노라고 / 경주 딸네집,1981,성인가요/트로트,36,1981

첫 사랑의 생일,김민식,젊음의 노래 16 히트곡 모음 1,1981,발라드,37,1981

청춘,산울림,가지마오,1981,록/메탈,38,1981

해야,마그마,Magma,1981,록/메탈,39,1981

행복하세요,희자매,희자매 5집,1981,성인가요/트로트,40,1981

같이 있게 해주세요,동그라미,같이 있게 해주세요 / 잊지말아주,1982,성인가요/트로트,1,1982

그대 떠난 이밤에,옥슨 80,옥슨 '80,1982,록/메탈,2,1982

기다리는 여심,계은숙,계은숙 골든,1982,성인가요/트로트,3,1982

꽃바람,조용필,못찾겠다 꾀꼬리/비련,1982,성인가요/트로트,4,1982

꿈을 먹는 젊은이,남궁옥분,남궁옥분 VS 강은철,1982,포크/블루스,5,1982

나는 홀로 있어도,유심초,나는 홀로 있어도,1982,성인가요/트로트,6,1982

나뭇잎 사이로,조동진,조동진 Vol. 2.,1982,포크/블루스,7,1982

나보다 더 나를 사랑하는 님이시여,김연숙,나보다 더 나를 사랑하는 님이시여,1982,성인가요/트로트,8,1982

남포동 부르스,김수희,김수희 어제와 오늘 (Super Hit 38),1982,성인가요/트로트,9,1982

내게 사랑은 너무 써,산울림,새야 날아,1982,록/메탈,10,1982

노래하며 춤추며,계은숙,계은숙 골든,1982,성인가요/트로트,11,1982

대동강 편지,나훈아,나훈아 골든,1982,성인가요/트로트,12,1982

독도는 우리땅,정광태,정광태 2집,1982,성인가요/트로트,13,1982

독백,산울림,가지마오,1982,록/메탈,14,1982

못찾겠다 꾀꼬리,조용필,못찾겠다 꾀꼬리/비련,1982,록/메탈,15,1982

바윗돌,정오차,도시탈출/ 바윗돌,1982,성인가요/트로트,16,1982

백지로 보낸 편지,김태정,골든 독집 (기도하는 마음/사모),1982,성인가요/트로트,17,1982

부산 갈매기,문성재,무등산아 말해다오,1982,성인가요/트로트,18,1982

사랑,최안순,오리지날 힛송 총결산집,1982,성인가요/트로트,19,1982

사랑 사랑 누가 말했나,남궁옥분,남궁옥분 VS 강은철,1982,포크/블루스,20,1982

산할아버지,산울림,산울림의 동요선물 2집 - 산할아버지,1982,"키즈, 창작동요",21,1982

상아의 노래,송창식,송창식 16 (창밖에는 비 오고요),1982,포크/블루스,22,1982

야화,사랑의 하모니,야화/별이여 사랑이여,1982,성인가요/트로트,23,1982

어쩌다 마주친 그대,송골매,송골매 2집,1982,록/메탈,24,1982

얼굴 빨개졌다네,이명훈,Fevers (Old Best & New 1979~2005),1982,포크/블루스,25,1982

여인아,이태원,이태원 (여인아/솔개),1982,성인가요/트로트,26,1982

연상의 여인,윤민호,연상의 여인,1982,성인가요/트로트,27,1982

연인들의 이야기,임수정,임수정,1982,성인가요/트로트,28,1982

울긴 왜 울어,나훈아,나훈아 베스트 1,1982,성인가요/트로트,29,1982

님의 기도,오누이,낭만포크 2,1982,포크/블루스,30,1982

잊혀진 계절,이용,잊혀진 계절,1982,발라드,31,1982

잡초,나훈아,나훈아 베스트 2,1982,성인가요/트로트,32,1982

젊은날의 초상,젊은 연인들,사랑하는 사람끼리/젊은날의 초상,1982,성인가요/트로트,33,1982

정거장,김수희,김수희 2,1982,성인가요/트로트,34,1982

종이학,전영록,지나간 시절의 연가 / 종이학,1982,댄스,35,1982

타인의 계절,한경애,한경애 전집,1982,성인가요/트로트,36,1982

헤이,이동원,골든(이별노래),1982,포크/블루스,37,1982

회상,산울림,새야 날아,1982,록/메탈,38,1982

DJ에게,윤시내,윤시내 전집,1982,성인가요/트로트,39,1982

가슴앓이,한마음,히트가요 컬렉션 Vol.3,1983,발라드,1,1983

가을을 남기고 간 사랑,패티김,패티김 베스트 1,1983,성인가요/트로트,2,1983

결혼기념일의 노래,홍민,홍민 골든,1983,발라드,3,1983

기도하는 마음,김태정,골든 독집 (기도하는 마음/사모),1983,성인가요/트로트,4,1983

난 아니야,조용필,못찾겠다 꾀꼬리/비련,1983,성인가요/트로트,5,1983

날개,허영란,눈물속에 핀 꽃/날개,1983,성인가요/트로트,6,1983

내 마음 당신곁으로,김정수,내 마음 당신 곁으로,1983,성인가요/트로트,7,1983

다시는 사랑을 안할테야,김수철,작은 거인 김수철 (못다핀 꽃 한 송이),1983,록/메탈,8,1983

멍에,김수희,김수희 1,1983,성인가요/트로트,9,1983

모두 다 사랑하리,송골매,송골매 2집,1983,록/메탈,10,1983

모두가 천사라면 (CF - 맛있는 비타치즈),전영,전영 히트 전집,1983,성인가요/트로트,11,1983

못잊겠어요,김수희,김수희 1,1983,성인가요/트로트,12,1983

밀양머슴아리랑,한규철,명품 민요디스코,1983,성인가요/트로트,13,1983

바람에 구름 가듯,이은하,이은하 The Golden Best,1983,댄스,14,1983

바람이었나,정수라,오리지날 힛송 총결산집,1983,성인가요/트로트,15,1983

바보처럼 울고 말았네,이명훈,사랑만들기,1983,발라드,16,1983

변명,민해경,민해경 골든,1983,"발라드, 성인가요/트로트",17,1983

비와 찻잔 사이,배따라기,배따라기,1983,포크/블루스,18,1983

사랑,나훈아,나훈아 골든,1983,성인가요/트로트,19,1983

사랑은 받는것이 아니라면서,해오라기,젊음의 노래 16 히트곡 모음 2,1983,발라드,20,1983

솔개,이태원,이태원 (여인아/솔개),1983,성인가요/트로트,21,1983

앉으나 서나 당신 생각,현철,현철 골든 힛트송 모음집,1983,성인가요/트로트,22,1983

올 가을엔 사랑할거야,방미,골든 히트곡,1983,성인가요/트로트,23,1983

잃어버린 우산,우순실,MBC 대학가요제(大學歌謠祭) 골든베스트,1983,발라드,24,1983

참새와 허수아비,조정희,MBC 대학가요제(大學歌謠祭) 골든베스트,1983,발라드,25,1983

푸르른 날,송창식,송창식 골든 제3집,1983,포크/블루스,26,1983

한줄기 빛,송골매,송골매 3집 (처음 본 순간),1983,록/메탈,27,1983

내일,김수철,작은 거인 김수철 (못다핀 꽃 한 송이),1984,록/메탈,1,1984

그것은 인생,최혜영,최혜영 1,1984,성인가요/트로트,2,1984

잃어버린 정,김수희,김수희 3,1984,성인가요/트로트,3,1984

유리벽,신형원,신형원 베스트 1982-2000,1984,포크/블루스,4,1984

J에게,이선희,아! 옛날이여,1984,발라드,5,1984

눈물의 파티,조용필,눈물의 파티,1984,록/메탈,6,1984

바보 바보,이동기,바보 바보/사랑의 아픔,1984,성인가요/트로트,7,1984

눈물의 재회,강승모,베스트 1,1984,성인가요/트로트,8,1984

하얀 목련,양희은,양희은 골든 15,1984,포크/블루스,9,1984

못다핀 꽃 한 송이,김수철,작은 거인 김수철 (못다핀 꽃 한 송이),1984,록/메탈,10,1984

슬픔의 심로,김학래,김학래 전집,1984,성인가요/트로트,11,1984

불씨,신형원,신형원의 모든 것 1,1984,포크/블루스,12,1984

물같은 사랑,최혜영,최혜영 1,1984,성인가요/트로트,13,1984

정녕 그대를,김수철,작은 거인 김수철 (못다핀 꽃 한 송이),1984,록/메탈,14,1984

아름다워,윤수일밴드,윤수일밴드 3,1984,록/메탈,15,1984

우리는,송창식,송창식 골든 제3집,1984,포크/블루스,16,1984

갯바위,한마음,미사리 포크 연가(戀歌)(오리지날 & 라이브 앨범),1984,포크/블루스,17,1984

사랑의 벼리,김형룡,힛트곡 모음,1984,성인가요/트로트,18,1984

연인이여,이광조,이광조 (사랑을잃어버린나),1984,발라드,19,1984

풀잎이슬,정수라,도시의 거리/아! 대한민국/아버지의 의자/우리는 친구,1984,발라드,20,1984

무엇이 너와 나를 슬프게 하나,성민호,야망 (MBC TV 수목드라마) (무엇이 너와 나를 슬프게 하나),1984,국내드라마,21,1984

약속,임병수,이렇게 좋은데,1984,발라드,22,1984

님그림자,노사연,노사연 1집,1984,성인가요/트로트,23,1984

외사랑,신형원,신형원 베스트 1982-2000,1984,포크/블루스,24,1984

첫사랑이야,이용,1981~2003 History (New & Best Live Version),1984,발라드,25,1984

그래 걷자,김창완,김창완 - 기타가 있는 수필,1984,록/메탈,26,1984

왜 돌아보오,윤복희,Hang Ki Bok Hee,1984,성인가요/트로트,27,1984

날 찾지 말아요,장덕,날 찾지 말아요,1984,성인가요/트로트,28,1984

당신은 안개였나요,이미배,이미배 전집,1984,성인가요/트로트,29,1984

모두가 사랑이예요,해바라기,해바라기 오리지날 힛트송,1984,포크/블루스,30,1984

사랑도 못해본 사람은,이은하,이은하 The Golden Best,1984,댄스,31,1984

그대와 탱고를,심수봉,Original Golden Best,1984,성인가요/트로트,32,1984

어머니와 고등어,김창완,김창완 - 기타가 있는 수필,1984,록/메탈,33,1984

사람들,신형원,신형원 베스트 1982-2000,1984,포크/블루스,34,1984

사랑의 시,윤시내,"Yeun Si Nae, Na Mee Duet I",1984,성인가요/트로트,35,1984

은지,배따라기,배따라기,1984,포크/블루스,36,1984

가난한 연인들의 기도,홍서범,Golden 80-92,1984,발라드,37,1984

우는 아인 바보야,하남석,우는 아이 바보야,1984,성인가요/트로트,38,1984

카사블랑카,최헌,최헌의 어제와 오늘,1984,성인가요/트로트,39,1984

나도야 간다,김수철,작은거인 김수철 2,1984,록/메탈,40,1984

정의 마음,조용필,눈물의 파티,1984,성인가요/트로트,41,1984

사랑은 연필로 쓰세요,전영록,사랑은 연필로 쓰세요,1984,발라드,42,1984

별리,김수철,작은 거인 김수철 (못다핀 꽃 한 송이),1984,록/메탈,43,1984

그대가 미워요,전영록,사랑은 연필로 쓰세요,1984,발라드,44,1984

얼룩진 상처,백영규,백영규 9집,1984,발라드,45,1984

꿈,정유경,꿈/사랑의 문,1984,발라드,46,1984

소중한 사람,길은정,길은정 노래시집(詩集)(소중한 사람에게 보내는 편지),1984,발라드,47,1984

아득히 먼곳,이승재,이승재 히트전집,1984,"발라드, 성인가요/트로트",48,1984

그대는 나의 인생,한울타리,눈물의 승차권/그대는 나의인생,1984,포크/블루스,49,1984

고독한 여자의 미소는 슬퍼,김정호,김정호 골든,1984,성인가요/트로트,50,1984

바람이었나,정수라,20th Memorial Anniversary + Sene 14,1984,발라드,51,1984

인연의 정,최백호,베스트 히트곡 모음집,1984,성인가요/트로트,52,1984

친구여,조용필,산유화/여자의 정/한강,1984,성인가요/트로트,53,1984

사랑의 미로,최진희,최진희 골든 히트앨범,1984,성인가요/트로트,54,1984

고니,이태원,"타조, 솔개, 여인아",1984,성인가요/트로트,55,1984

나는 행복한 사람,이문세,나는 행복한 사람,1984,발라드,56,1984

건곤감리 청홍백,현숙,현숙 히트송 골든앨범 10집(건곤감리 청홍백/마지막 축제),1984,성인가요/트로트,57,1984

세계는 친구,김성희,한국가요사 22집,1984,성인가요/트로트,58,1984

아시아의 불꽃,조용필,조용필 7집,1984,록/메탈,59,1984

잠들지 않는 시간,이용,Best Of Lee Young,1984,발라드,60,1984

하루에 한번,윤희와 윤미,하루에 한번 / 철없는 작별 / 사랑에 깊이 빠졌어요,1984,성인가요/트로트,61,1984

무정 부르스,강승모,베스트 1,1984,성인가요/트로트,62,1984

고독,최백호,83 최백호,1984,성인가요/트로트,63,1984

말하고 싶어요,한마음,낭만포크 1,1984,포크/블루스,64,1984

바람과 갈대,조용필,눈물의 파티,1984,성인가요/트로트,65,1984

도요새의 비밀,정광태,정광태 2집,1984,성인가요/트로트,66,1984

안녕,김태화,"난 참 바보처럼 살았군요, 뛰어",1984,성인가요/트로트,67,1984

가을을 남기고 간 사랑,패티김,패티김 골든베스트,1984,성인가요/트로트,68,1984

아파트,윤수일,골든 힛트곡 모음집 (사랑만은 않겠어요),1984,성인가요/트로트,69,1984

계절이 가기 전에,건아들,건아들 (꿈꾸는 아이들),1984,록/메탈,70,1984

불티,전영록,전영록 (베스트),1984,댄스,71,1984

길 바람 아이,김광일,김광일 1집,1984,포크/블루스,72,1984

내 나이 육십하고 하나일때,김태화,"난 참 바보처럼 살았군요, 뛰어",1984,성인가요/트로트,73,1984

빗물,송골매,송골매 3집 (처음 본 순간),1984,"발라드, 록/메탈",74,1984

왜 모르시나,김수철,작은거인 김수철 2,1984,록/메탈,75,1984

마지막 포옹,김수희,김수희 2,1984,성인가요/트로트,76,1984

이별 뒤의 이야기,이용,1981~2003 History (New & Best Live Version),1984,발라드,77,1984

작은 숙녀,혜은이,작은 숙녀,1984,성인가요/트로트,78,1984

젊은 미소,건아들,건아들 (꿈꾸는 아이들),1984,록/메탈,79,1984

빙글빙글,Nami (나미),나미 골든히트 Vol. 2,1984,발라드,80,1984

이름없는 새,손현희,손현희 1집 (이름없는 새 / 풀꽃반지),1984,성인가요/트로트,81,1984

지울수 없는 얼굴,채은옥,지울수 없는 얼굴/사랑할줄 모르고,1984,성인가요/트로트,82,1984

이젠 사랑할 수 있어요,해바라기,89 해바라기 (사랑으로 / 사랑의 진실 / 나는 자유인인가),1985,포크/블루스,1,1985

"어제, 오늘, 그리고",조용필,조용필 7집,1985,록/메탈,2,1985

희나리,구창모,구창모 (문을열어/당신이 미워지면),1985,"발라드, 성인가요/트로트",3,1985

아직도 어두운 밤인가봐,전영록,전영록 (베스트),1985,댄스,4,1985

모두가 사랑이예요,해바라기,해바라기 오리지날 힛트송,1985,포크/블루스,5,1985

바위섬,김원중,바다가 보이는 찻집/바위섬,1985,포크/블루스,6,1985

하늘 나라 우리님 1,송골매,송골매 5,1985,록/메탈,7,1985

"바람, 바람, 바람",김범룡,김범룡 1집,1985,성인가요/트로트,8,1985

말하고 싶어요,한마음,낭만포크 1,1985,포크/블루스,9,1985

이별노래,이동원,골든(이별노래),1985,포크/블루스,10,1985

비내리는 영동교,주현미,주현미 (비내리는 영동교/그 정을 어이해요),1985,성인가요/트로트,11,1985

그댄 봄비를 무척 좋아하나요,배따라기,배따라기,1985,포크/블루스,12,1985

우리 사랑,김승덕,김승덕의 모든것,1985,발라드,13,1985

도시의 거리,정수라,도시의 거리/아! 대한민국/아버지의 의자/우리는 친구,1985,댄스,14,1985

당신은 누구세요,김수희,김수희 4,1985,성인가요/트로트,15,1985

겨울 비는 내리고,김범룡,김범룡 1집,1985,성인가요/트로트,16,1985

아! 옛날이여,이선희,아! 옛날이여,1985,발라드,17,1985

빙글빙글,Nami (나미),나미 골든히트 Vol. 2,1985,발라드,18,1985

다시 사랑할 수 있다면,김형룡,힛트곡 모음,1985,성인가요/트로트,19,1985

그대 먼곳에,마음과 마음,연인,1985,발라드,20,1985

사랑했어요,김현식,추억만들기 1,1985,발라드,21,1985

너의 의미,산울림,너의 의미,1985,록/메탈,22,1985

인생은 미완성,이진관,힛트전집,1985,성인가요/트로트,23,1985

내일로 가는 마차,이재성,촛불잔치,1985,발라드,24,1985

눈물 한방울로 사랑은 시작되고,이유진,이유진 전속 제 1집,1985,성인가요/트로트,25,1985

J 그대는,오복,시나브로 / 미운 그대 / 깨어진 약속,1985,성인가요/트로트,26,1985

이해하기 어려운 이야기,최혜영,최혜영 1,1985,성인가요/트로트,27,1985

환상의 섬,윤수일,골든 힛트곡 모음집 (사랑만은 않겠어요),1985,성인가요/트로트,28,1985

아시아의 불꽃,조용필,조용필 7집,1985,록/메탈,29,1985

밤에 피는 장미,어우러기,제6회 '85 MBC 강변가요제,1985,발라드,30,1985

그대 작은 화분에 비가 내리네,배따라기,배따라기,1985,포크/블루스,31,1985

왜 모르시나,김수철,작은거인 김수철 2,1985,록/메탈,32,1985

고독한연인,김수희,김수희 5,1985,성인가요/트로트,33,1985

가버린 추억,남화용,그때 그길,1985,발라드,34,1985

아득히 먼곳,이승재,이승재 히트전집,1985,"발라드, 성인가요/트로트",35,1985

사랑별곡,강승모,Return To Innocence,1985,성인가요/트로트,36,1985

무정 부르스,강승모,베스트 1,1985,성인가요/트로트,37,1985

강변연가,권진경,젊은이를 위한 음악시리즈 - 대학가의 戀歌,1985,발라드,38,1985

사랑과 진실,임채무,사랑과 진실,1985,성인가요/트로트,39,1985

민들레 홀씨되어,박미경,제6회 '85 MBC 강변가요제,1985,발라드,40,1985

새벽기차,다섯손가락,다섯손가락 골든 힛트곡 모음,1985,발라드,41,1985

숨겨진 노래,이동기,한국가요사 23집,1985,성인가요/트로트,42,1985

아버지의 의자,정수라,아버지의 의자 / 눈물의 의미,1985,발라드,43,1985

사랑의 눈동자,유익종,유익종 Best,1985,성인가요/트로트,44,1985

갈등,이선희,아! 옛날이여,1985,발라드,45,1985

미지의 세계,조용필,조용필 7집,1985,록/메탈,46,1985

유혹하지 말아요,Nami (나미),Nami Best 'My Story And... 45',1985,성인가요/트로트,47,1985

금연,건아들,禁煙 (금연),1985,록/메탈,48,1985

나도야 간다,김수철,작은거인 김수철 2,1985,록/메탈,49,1985

벌거숭이,벌거숭이,벌거숭이,1985,록/메탈,50,1985

아가 같은 그대여,김학래,김학래 전집,1985,성인가요/트로트,51,1985

잠들지 않는 시간,이용,Best Of Lee Young,1985,발라드,52,1985

젊은 그대,김수철,작은거인 김수철 2,1985,록/메탈,53,1985

나는 사랑에 빠졌어요,이선희,아! 옛날이여,1985,발라드,54,1985

타조,이태원,"타조, 솔개, 여인아",1985,성인가요/트로트,55,1985

다시는 사랑하지 않으리,이은하,Lee Eun Ha,1985,성인가요/트로트,56,1985

파랑새,이문세,이문세2,1985,발라드,57,1985

아베마리아,김승덕,그대 얼굴 바라볼 수 있다면,1985,발라드,58,1985

소녀의 기도,이선희,아! 옛날이여,1985,발라드,59,1985

계절이 가기 전에,건아들,건아들 (꿈꾸는 아이들),1985,록/메탈,60,1985

제비꽃,조동진,조동진 Vol.3,1985,포크/블루스,61,1985

꿈이여 사랑이여,한마음,한마음의 모든것,1985,포크/블루스,62,1985

행복을 주는 사람,해바라기,해바라기 오리지날 힛트송,1985,포크/블루스,63,1985

약속,임병수,이렇게 좋은데,1985,발라드,64,1985

소중한 사람,길은정,길은정 노래시집(詩集)(소중한 사람에게 보내는 편지),1985,발라드,65,1985

길 바람 아이,김광일,김광일 1집,1985,포크/블루스,66,1985

애상,장미화,내인생 바람에 실어 / 서풍이 부는 날,1985,성인가요/트로트,67,1985

새장속의 사랑은 싫어,김학래,김학래 자작곡 제2집,1985,성인가요/트로트,68,1985

사랑도 못해본 사람은,이은하,이은하 The Golden Best,1985,댄스,69,1985

J에게,이선희,아! 옛날이여,1985,발라드,70,1985

행진,들국화,들국화 1집,1985,록/메탈,71,1985

아주 옛날에는 사람이 안살았다는데/무슨 색을 좋아해도,꾸러기들,우리 젊은날의 노래 3,1985,발라드,72,1985

내 하나의 사람은 가고,임희숙,골든 힛트곡 모음,1985,성인가요/트로트,73,1985

기타 하나 동전 한닢,이재성,촛불잔치,1985,발라드,74,1985

창밖에 잠수교가 보인다,박영민,밤을 만드는 남자,1985,성인가요/트로트,75,1985

그대여,조용필,조용필 7집,1985,록/메탈,76,1985

들꽃,조용필,조용필 7집,1985,록/메탈,77,1985

친구라 하네,한마음,낭만포크 2,1985,포크/블루스,78,1985

불티,전영록,전영록 (베스트),1985,댄스,79,1985

사랑이란 말은 너무너무 흔해,임병수,임병수 2집 (사랑이란 말은 너무너무 흔해/하얀 갈대),1985,댄스,80,1985

가난한 연인들의 기도,홍서범,Golden 80-92,1985,발라드,81,1985

난 사랑했어요,Nami (나미),Nami Best 'My Story And... 45',1985,성인가요/트로트,82,1985

그대,이태원,이태원 제1집,1985,포크/블루스,83,1985

그것만이 내세상,들국화,들국화 1집,1985,록/메탈,84,1985

잃어버린 정,김수희,김수희 3,1985,성인가요/트로트,85,1985

나의 옛날이야기,조덕배,인생(人生),1985,발라드,86,1985

사랑의 미로,최진희,최진희 골든 히트앨범,1985,성인가요/트로트,87,1985

만남없는 이별,해오라기,해오라기,1985,성인가요/트로트,88,1985

그대에게서 벗어나고파,윤시내,윤시내 전집,1985,성인가요/트로트,89,1985

아그네스,김세화,잠자는 인형,1985,성인가요/트로트,90,1985

슬퍼하지 말아요,강인엽,강인엽,1985,성인가요/트로트,91,1985

너나 좋아해 나너 좋아해,현이와 덕이,현이와 덕이,1985,발라드,92,1985

우리는,송창식,송창식 골든 제3집,1985,포크/블루스,93,1985

갯바위,한마음,미사리 포크 연가(戀歌)(오리지날 & 라이브 앨범),1985,포크/블루스,94,1985

빈 가슴의 아픔,민재홍,민재홍 (청춘심곡),1985,성인가요/트로트,95,1985

영동부르스,김연자,톱가수 16인의 힛트곡 1집,1985,"발라드, 성인가요/트로트",96,1985

사랑과 약속,김학래,꿈에서 새벽까지,1985,발라드,97,1985

물망초,황선형,황선형,1985,성인가요/트로트,98,1985

당신이 주는 것,민지,당신이 주는것/잊혀진 여인,1985,성인가요/트로트,99,1985

어제,이리,이리,1985,성인가요/트로트,100,1985

가까이 하기엔 너무 먼 당신,이광조,이광조 History (가까이 하기엔 너무 먼 당신),1986,발라드,1,1986

난 아직 모르잖아요,이문세,이문세 골든 15,1986,발라드,2,1986

아픈만큼 성숙해지고,구창모,구창모 2집(아픈만큼 성숙해지고/방황/남남/잎새처럼),1986,록/메탈,3,1986

허공,조용필,조용필 8집 (Remastered),1986,성인가요/트로트,4,1986

지난이야기 (Remake),김완선,S & Remake,1986,댄스,5,1986

난 너에게,정수라,톱가수 16인의 힛트곡 1집,1986,발라드,6,1986

철없던 사랑,홍수철,철없던 사랑 / 바람부는 날엔,1986,성인가요/트로트,7,1986

나 그리고 별,높은음자리,높은음자리 1집,1986,발라드,8,1986

사랑은 이제 그만,민해경,Best Of Best,1986,댄스,9,1986

갈바람,이선희,아! 옛날이여,1986,발라드,10,1986

우린 너무 쉽게 헤어졌어요,최진희,최진희 골든 히트앨범,1986,성인가요/트로트,11,1986

새벽기차,다섯손가락,다섯손가락 골든 힛트곡 모음,1986,발라드,12,1986

그대 우나봐,전영록,그대 우나봐 / 난 늘 혼자였네,1986,발라드,13,1986

바다에 누워,높은음자리,높은음자리 2집,1986,록/메탈,14,1986

사랑은 언제나 그 자리에,해바라기,89 해바라기 (사랑으로 / 사랑의 진실 / 나는 자유인인가),1986,포크/블루스,15,1986

청량리 부르스,명혜원,톱가수 16인의 힛트곡 1집,1986,발라드,16,1986

남남,최성수,"1집 남남, 애수",1986,발라드,17,1986

재회,남궁옥분,재회,1986,성인가요/트로트,18,1986

그것만이 내세상,들국화,들국화 1집,1986,록/메탈,19,1986

사랑을 잃어버린 나,이광조,이광조 (사랑을잃어버린나),1986,발라드,20,1986

그대는 미운사람,김범룡,김범룡 2집,1986,성인가요/트로트,21,1986

해야 해야,김학래,김학래,1986,성인가요/트로트,22,1986

세계로 가는 기차,들국화,들국화 1집,1986,록/메탈,23,1986

하얀 갈대,임병수,임병수 2집 (사랑이란 말은 너무너무 흔해/하얀 갈대),1986,발라드,24,1986

촛불잔치,이재성,촛불잔치,1986,댄스,25,1986

울면서 후회하네,주현미,힛트곡 전집,1986,성인가요/트로트,26,1986

제가 먼저 사랑할래요,강인원,강인원,1986,발라드,27,1986

골목길,이재민,묻지마,1986,성인가요/트로트,28,1986

내 잘못인가,강은철,내 잘못인가,1986,포크/블루스,29,1986

