title,artist,album,release_date,genre,rank,chartyear
아마도 빗물이겠지,이상열,오리지날 힛송 총결산집,1970,성인가요/트로트,18,1970

아씨,이미자,이미자 골드 일대작 제1집,1970,성인가요/트로트,19,1970

약속,Toi Et Moi,그시절 그노래 제 40집,1970,성인가요/트로트,20,1970

월남에서 돌아온 김상사,김추자,신중현 작품집 김추자 (늦기전에),1970,록/메탈,21,1970

이정표 없는 거리,김상진,오리지날 힛송 총결산집,1970,성인가요/트로트,22,1970

일자상서,김부자,히트 전집,1970,성인가요/트로트,23,1970

좋았다 싫어지면,나훈아,골든20 2집,1970,성인가요/트로트,24,1970

사랑의 상처,히식스,"사랑의 상처, 아름다운 인형",1970,록/메탈,25,1970

축제의 노래,트윈 폴리오,The Musician Series G,1970,포크/블루스,26,1970

가지마오,나훈아,나훈아 베스트 2,1971,성인가요/트로트,1,1971

고향아줌마,김상진,오리지날 힛송 총결산집,1971,성인가요/트로트,2,1971

고향의 강,남상규,남상규 전집,1971,성인가요/트로트,3,1971

그 사람 이름은 잊었지만,박건,박건 대표곡 모음,1971,성인가요/트로트,4,1971

그리운 사람끼리,Toi Et Moi,뚜아에무아 2집,1971,포크/블루스,5,1971

꽃동네 새동네,정훈희,정훈희 20,1971,성인가요/트로트,6,1971

꽃반지 끼고,은희,은희 골든디럭스 20,1971,성인가요/트로트,7,1971

님 떠나갈 시간,키보이스,골드 (바닷가의 추억),1971,성인가요/트로트,8,1971

님은 먼 곳에,김추자,김추자 베스트 20,1971,성인가요/트로트,9,1971

라라라,윤형주,윤형주 골든앨범 (김희갑 작편곡집),1971,포크/블루스,10,1971

머나먼 고향,나훈아,나훈아 힛트송 제2집 (머나먼 고향/해변의 여인),1971,성인가요/트로트,11,1971

먼데서 오신 손님,조미미,조미미 전곡 BEST HIT,1971,발라드,12,1971

물새 한 마리,하춘화,하춘화 골든힛트송,1971,성인가요/트로트,13,1971

바다가 육지라면,조미미,조미미 전곡 BEST HIT,1971,발라드,14,1971

바닷가의 추억,키보이스,골드 (바닷가의 추억),1971,성인가요/트로트,15,1971

밤 비,송창식,송창식 1집,1971,포크/블루스,16,1971

비야 비야,서유석,송창식 서유석 베스트,1971,포크/블루스,17,1971

사랑하다 싫어지면,김태희,그시절 그노래 제 13집,1971,성인가요/트로트,18,1971

사랑해,라나에로스포,미사리 포크 연가(戀歌)(오리지날 & 라이브 앨범),1971,포크/블루스,19,1971

세월이 가면,Toi Et Moi,뚜와 에 무와 2집,1971,성인가요/트로트,20,1971

세월이 약이겠지요,송대관,송대관 슈퍼 골든,1971,성인가요/트로트,21,1971

아름다운 사람,서유석,송창식 서유석 베스트,1971,포크/블루스,22,1971

애모의 노래,한상일,한상일 애창곡집,1971,성인가요/트로트,23,1971

울고싶어,배호,배호의 마지막노래,1971,성인가요/트로트,24,1971

잘했군 잘했어,하춘화,하춘화 전곡 BEST HIT,1971,성인가요/트로트,25,1971

장미와 판타론,패티김,Patti Kim '71,1971,성인가요/트로트,26,1971

정든 배는 떠난다,키보이스,가요 박물관,1971,성인가요/트로트,27,1971

참사랑,김상희,"당신을 알고부터, 참사랑",1971,성인가요/트로트,28,1971

찻집의 고독,나훈아,나훈아,1971,성인가요/트로트,29,1971

창밖에는 비 오고요,송창식,송창식 16 (창밖에는 비 오고요),1971,포크/블루스,30,1971

춤추는 첫사랑,이현,그시절 그노래 제 16집,1971,성인가요/트로트,31,1971

파초의 꿈,문정선,70 & 80 Best Songs 3,1971,성인가요/트로트,32,1971

개 여울,정미조,정미조 전속기념 제1집 - 그리운 생각/불타는 사랑,1972,성인가요/트로트,1,1972

고독,이필원,이필원 골든히트,1972,포크/블루스,2,1972

고향이 좋아,김상진,남국인 작곡집 (고향이 좋아),1972,성인가요/트로트,3,1972

공항의 이별,문주란,Best One,1972,성인가요/트로트,4,1972

그 얼굴에 햇살을,이용복,골든 베스트 콜렉션,1972,성인가요/트로트,5,1972

그대 변치 않는다면,방주연,골든 (당신의 마음),1972,성인가요/트로트,6,1972

그애와 나랑은,이장희,이장희,1972,포크/블루스,7,1972

길잃은 사슴,김세환,"김세환 노래모음 (옛친구, 소꼽장난)",1972,포크/블루스,8,1972

까투리 사냥,비둘기 시스터즈,까투리 사냥,1972,성인가요/트로트,9,1972

꽃길,정훈희,정훈희 20,1972,성인가요/트로트,10,1972

나의 노래,문정선,그대 오려나 / 고별,1972,성인가요/트로트,11,1972

내나라 내겨레,송창식,송창식 골든 제2집,1972,포크/블루스,12,1972

녹슬은 기찻길,나훈아,나훈아 베스트 2,1972,성인가요/트로트,13,1972

단골손님,조미미,조미미의 애창곡,1972,성인가요/트로트,14,1972

달타령,김부자,히트 전집,1972,성인가요/트로트,15,1972

달맞이 꽃,이용복,2011 베스트앨범,1972,포크/블루스,16,1972

달무리,영 사운드,히트가요 컬렉션 Vol.7,1972,발라드,17,1972

두개의 작은 별,윤형주,섬 청년 마음/어느 사랑의 이야기,1972,포크/블루스,18,1972

등불,영 사운드,열린 음악 2,1972,성인가요/트로트,19,1972

딩동댕 지난 여름,송창식,송창식 16 (창밖에는 비 오고요),1972,포크/블루스,20,1972

모닥불,박인희,박인희 힛트곡 전집,1972,포크/블루스,21,1972

모정의 세월,나훈아,나훈아의 20년,1972,성인가요/트로트,22,1972

목장길 따라,김세환,김세환 베스트,1972,포크/블루스,23,1972

물레방아도는데,나훈아,나훈아 베스트 1,1972,성인가요/트로트,24,1972

사랑은 장난이 아니랍니다,조미미,히트전집,1972,성인가요/트로트,25,1972

산까치야,최안순,그시절 그노래 4집,1972,성인가요/트로트,26,1972

새색시 시집가네,이연실,고운노래모음,1972,포크/블루스,27,1972

세노야 세노야,양희은,양희은 골든 15,1972,포크/블루스,28,1972

아침 이슬,김민기,Past Life Of Kim MinGi,1972,포크/블루스,29,1972

언덕에 올라,투코리안스,매혹의 하모니 베스트 14,1972,성인가요/트로트,30,1972

여고시절,이수미,"한국의 명곡 특선 시리즈, 6인의 걸작선",1972,성인가요/트로트,31,1972

영암 아리랑,하춘화,하춘화 힛트곡 전집,1972,성인가요/트로트,32,1972

영원한 세실리아,최동길,그시절 그노래 4집,1972,성인가요/트로트,33,1972

영원히 사랑하리,에보니스,11집 (그리워 그리워),1972,성인가요/트로트,34,1972

옛생각,조영남,골든 베스트 콜렉션,1972,성인가요/트로트,35,1972

옛님,Trippers,Trippers Go Go,1972,성인가요/트로트,36,1972

오라 오라 오라,문정선,오리지날 힛송 총결산집,1972,성인가요/트로트,37,1972

이루어질 수 없는 사랑,양희은,양희은 골든 15,1972,포크/블루스,38,1972

이일병과 이쁜이,조영남,골든 베스트 콜렉션,1972,성인가요/트로트,39,1972

